,Diabetes,HIV prevalence rate,Infant mortality,Poor or fair health,Premature age-adjusted mortality,Access to exercise opportunities,Adult obesity,Adult smoking,Excessive drinking,Sexually transmitted infections,Could not see doctor due to cost,Dentists,Diabetic screening,Health care costs,Mental health providers,Preventable hospital stays,Primary care physicians,Uninsured,Children in poverty,Children in single-parent households,High school graduation,Income inequality,Median household income,Social associations,Some college,Unemployment,Violent crime,Air pollution - particulate matter,Drinking water violations,Severe housing problems,2011 population estimate,Population that is not proficient in English
13295,0.135,118.9,6.1,0.26,457.4,0.575,0.334,0.253,0.099,151.3,0.208,10.0,0.82,10337.0,34.0,68.09,26.0,0.196,0.257,0.302,0.73,4.632,40512.0,11.602,0.478,0.071,338.46,13.26,0.0,0.139,68198,0.003
27073,0.097,103.0,7.0,0.165,309.7,0.417,0.271,0.2075,0.268,293.0,0.148,57.0,0.93,9622.0,92.0,80.51,70.0,0.089,0.143,0.215,0.896,3.764,46805.0,23.913,0.663,0.05,50.43,12.7,0.0,0.075,7027,0.001
37129,0.093,336.6,4.7,0.15,325.2,0.871,0.25,0.18,0.183,510.9,0.143,72.0,0.92,9130.0,364.0,41.77,92.0,0.185,0.242,0.383,0.8,4.914,48651.0,10.61,0.749,0.078,426.54,11.89,0.0,0.209,213267,0.022
51023,0.118,52.5,11.2,0.101,286.8,0.816,0.274,0.143,0.1625,120.6,0.096,21.0,0.86,8094.0,30.0,49.03,48.0,0.111,0.1,0.174,0.88,3.662,61005.0,17.494,0.663,0.052,84.01,12.99,0.045,0.093,33002,0.0
42007,0.116,68.5,6.1,0.17,365.2,0.857,0.31,0.187,0.144,298.4,0.078,49.0,0.77,10342.0,76.0,66.22,39.0,0.101,0.163,0.323,0.817,4.392,49215.0,15.566,0.653,0.072,308.51,14.19,0.262,0.125,170115,0.005
54069,0.114,122.0,8.5,0.14,415.4,0.843,0.282,0.255,0.122,279.1,0.137,91.0,0.79,10228.0,231.0,64.87,147.0,0.157,0.225,0.342,0.86,5.015,41009.0,22.008,0.661,0.06,583.94,13.87,0.124,0.107,43727,0.002
6001,0.077,395.9,4.6,0.145,256.6,0.997,0.205,0.106,0.194,422.1,0.125,88.0,0.8,8562.0,460.0,42.04,102.0,0.147,0.154,0.292,0.805,5.377,72128.0,6.529,0.71,0.074,723.49,8.46,0.0,0.255,1578891,0.093
21231,0.117,26.9,7.0,0.314,434.7,0.604,0.309,0.289,0.1625,230.5,0.225,29.0,0.87,10823.0,68.0,151.2,62.0,0.199,0.393,0.297,0.879,5.003,29878.0,8.164,0.377,0.117,90.78,13.4,0.0,0.142,20678,0.011
45015,0.128,180.0,8.1,0.17,368.0,0.735,0.365,0.227,0.161,416.3,0.149,27.0,0.86,10073.0,73.0,53.07,31.0,0.192,0.244,0.338,0.74,4.16,50794.0,6.903,0.616,0.066,435.42,12.42,0.0,0.15,194020,0.017
48491,0.086,97.2,4.5,0.12,226.0,0.942,0.278,0.11,0.171,320.5,0.101,52.0,0.87,11201.0,91.0,48.26,64.0,0.166,0.097,0.225,0.941,3.47,71252.0,6.006,0.744,0.053,142.29,8.88,0.032,0.126,471014,0.033
54061,0.096,103.0,6.2,0.161,330.3,0.822,0.271,0.175,0.134,504.3,0.129,118.0,0.8,10003.0,203.0,80.38,117.0,0.186,0.169,0.253,0.81,7.515,47281.0,9.967,0.735,0.041,345.23,13.59,0.0,0.163,102274,0.004
51033,0.119,188.9,7.0,0.165,348.2,0.593,0.3,0.208,0.13,352.1,0.148,20.0,0.87,9141.0,20.0,51.99,14.0,0.158,0.21,0.365,0.77,3.779,55760.0,13.461,0.494,0.067,137.7,12.49,0.107,0.161,29298,0.003
44003,0.093,81.6,5.9,0.122,323.6,0.95,0.269,0.188,0.204,223.8,0.105,71.0,0.84,9621.0,252.0,59.41,74.0,0.097,0.113,0.283,0.82,4.341,63232.0,9.646,0.694,0.089,120.6,10.27,0.248,0.178,165035,0.01
37145,0.125,202.7,8.0,0.139,398.5,0.66,0.333,0.27,0.1625,435.5,0.15,36.0,0.88,8770.0,99.0,80.72,33.0,0.179,0.257,0.393,0.724,4.838,42091.0,15.534,0.576,0.088,307.22,12.42,0.0,0.143,39276,0.009
37131,0.151,382.1,7.0,0.246,460.9,0.249,0.356,0.215,0.1625,648.7,0.226,14.0,0.9,9909.0,48.0,81.95,9.0,0.173,0.421,0.685,0.776,5.322,31732.0,16.334,0.415,0.096,262.44,11.96,0.05,0.153,20839,0.005
39073,0.114,63.2,7.0,0.186,410.3,0.814,0.305,0.245,0.163,177.6,0.131,21.0,0.89,10906.0,38.0,73.18,48.0,0.146,0.268,0.289,0.94,4.657,42376.0,10.932,0.507,0.078,47.63,13.38,0.0,0.133,28665,0.003
30049,0.064,36.9,5.6,0.129,316.5,0.762,0.23,0.173,0.179,262.0,0.087,80.0,0.81,7279.0,381.0,40.12,88.0,0.159,0.162,0.27,0.831,3.595,53982.0,21.425,0.76,0.046,311.27,11.28,0.017,0.118,65338,0.002
